syscall,tool,depth,time
clone,perf,10,0.454
clone,perf,100,0.399
clone,perf,1000,0.3955
clone,strace,10,0.0003645
clone,strace,100,0.0004055
clone,strace,1000,0.0007345
execvp,perf,10,0.00032649999999999997
execvp,perf,100,0.00031099999999999997
execvp,perf,1000,0.00031999999999999997
execvp,strace,10,0.00039150000000000003
execvp,strace,100,0.0006355
execvp,strace,1000,0.000956
fork,perf,10,0.0003735
fork,perf,100,0.0003795
fork,perf,1000,0.000388
fork,strace,10,0.0001305
fork,strace,100,0.0001225
fork,strace,1000,0.00013099999999999999
posix_spawnp,perf,10,0.0006275
posix_spawnp,perf,100,0.00046849999999999995
posix_spawnp,perf,1000,0.0004625
posix_spawnp,strace,10,0.0006529999999999999
posix_spawnp,strace,100,0.000751
posix_spawnp,strace,1000,0.002003
